Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,baseline_data,,text,Record ID,,,,,,y,,,,,,,
birth_date,baseline_data,,text,Birth Date,,Answer Format: MM/DD/YYYY,,,,y,,,,,,,
race,baseline_data,,radio,Self-Reported Race,"0, American Indian/Alaska Native | 1, Asian | 2, Native Hawaiian or Other Pacific Islander | 3, Black or African American | 4, White | 5, More Than One Race | 6, Unknown / Not Reported","Source Hierarchy:  
1. Automated pull. 
2. Initial Consultation note (if missing after automated pull).",,,,,,,,,,,
ethnicity,baseline_data,,dropdown,Ethnicity,"0, Hispanic or Latino | 1, NOT Hispanic or Latino | 2, Unknown / Not Reported","Source Hierarchy: 
1. Automated pull. 
2. Initial Consultation note (if missing after automated pull).",,,,,,,,,,,
smoking_status,baseline_data,,radio,Smoking Status at Diagnosis,"0, Never | 1, Former | 2, Current| 3, Unknown","Source Hierarchy: 
1. Automated pull. 
2. Initial Consultation note (if missing after automated pull).",,,,,,,,,,,
initial_diagnosis_date,baseline_data,Initial Diagnosis,text,Date of Initial Diagnosis,,"Answer Format: MM/DD/YYYY

Notes:
o   Enter the date to the greatest level of granularity available. Use format ""MM/YYYY"" for month/year only and format ""YYYY"" for year only.
o   FLAG FOR RESOLUTION if unable to find any approximate date.

Source Hierarchy:
1.  Pathology Report: date of first biopsy showing prostate cancer
2.  Initial consultation note: MD-reported date of first biopsy showing prostatate cancer
3. Initial consultation note: other MD-reported date of assumed diagnosis of prostate cancer, if treatment started outside without initial biopsy",,,,,,,,,,,
initial_prostate_biopsy_date,baseline_data,,text,Date of Initial Prostate Biopsy,,"Answer Format: MM/DD/YYYY

Notes: 
o   Enter the date to the greatest level of granularity available. Use format ""MM/YYYY"" for month/year only and format ""YYYY"" for year only. 
o   Enter date here ONLY for initial prostate biopsy (or TURP/TURBT if the patient did not have a prostate biopsy). Enter NA if patient did not have prostate biopsy/TURP/TURBT at diagnosis.

Source Hierarchy:
1.  Pathology Report: date of first biopsy showing prostate cancer
2.  Initial consultation note (MD-reported date of first biopsy showing prostatate cancer)",,,,,,,,,,,
gleason_diagnosis_sum,baseline_data,,dropdown,Sum Gleason at Diagnosis (Biopsy),"0, 2 | 1, 3 | 2, 4 | 3, 5 | 4, 6 | 5, 7 | 6, 8 | 7, 9 | 8, 10 | 9, Unknown | 10, N/A","Notes: 
o   Enter ""Unknown"" if unable to retrieve data on Gleason grade.
o   Enter ""N/A"" if patient did not have a prostate biopsy prior to initiating treatment.

Source Hierarchy:
1. MSK re-reviewed pathology. Always report the grade of the core with the highest grade.
2. Initial Consultation note.
3. Outside Pathology Report",,,,,,,,,,,
gleason_diagnosis_primary,baseline_data,,dropdown,Primary Gleason Pattern at Diagnosis (Biopsy),"0, 1 | 1, 2 | 2, 3 | 3, 4 | 4, 5 | 5, Unknown | 6, N/A","Notes: 
o   Enter ""Unknown"" if unable to retrieve data on Gleason grade.
o   Enter ""N/A"" if patient did not have a prostate biopsy prior to initiating treatment.

Source Hierarchy:
1. MSK re-reviewed pathology. Always report the grade of the core with the highest grade.
2. Initial Consultation note.
3. Outside Pathology Report",,,,,,,,,,,
gleason_diagnosis_secondary,baseline_data,,dropdown,Secondary Gleason Pattern at Diagnosis (Biopsy),"0, 1 | 1, 2 | 2, 3 | 3, 4 | 4, 5 | 5, Unknown | 6, N/A","Notes: 
o   Enter ""Unknown"" if unable to retrieve data on Gleason grade.
o   Enter ""N/A"" if patient did not have a prostate biopsy prior to initiating treatment.

Source Hierarchy:
1. MSK re-reviewed pathology. Always report the grade of the core with the highest grade.
2. Initial Consultation note.
3. Outside Pathology Report",,,,,,,,,,,
